BA partnum,Part description,RB pattern 1,RB pattern 2,RB pattern 3,RB pattern 4
973,Minifig Torso,973c**h**pr**,973g**c**h**pr**,973?**pr**,
73200,Minifig Legs,970?**pr**,970l**r**pr**,970?**,
73141,"Minidoll torso, girl",92816c**pr**,,,
73161,"Minidoll torso, boy",92815c**pr**,,,
3626pb,Minifig face printed,3626?pr**,28621pr**,,
37364,Minifig Legs Medium,37364c**,37364c**pr**,37364c**pat**,
93552,Paint brush,93552pr**,93552pat**,,
90463,Equipment Magnifying Glass,30152pat**,38648pat**,10830pat**,
22385,"2Ã—3 Tile, Pentagonal",22385pr**,,,
73152,"Minidoll torso, woman","
92816c**pr**",92456c**pr**,None,None
73441,"Minidoll torso, man","
92815c**pr**",None,None,None
11407,Minidoll skirt,11407c**pr**,92818c**pr**,,None
92198,Minidoll head,92198pr**,None,None,None
